Vehicle ID: 0, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 1, Entry Lane: BL2, Exit Lane: DL1, Direction: S
Vehicle ID: 2, Entry Lane: BL2, Exit Lane: DL1, Direction: S
Vehicle ID: 3, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 4, Entry Lane: CL2, Exit Lane: BL1, Direction: W
Vehicle ID: 5, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 6, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 7, Entry Lane: DL2, Exit Lane: BL1, Direction: N
Vehicle ID: 8, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 9, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 10, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 11, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 12, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 0, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 1, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 2, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 3, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 4, Entry Lane: AL2, Exit Lane: DL1, Direction: N
Vehicle ID: 5, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 6, Entry Lane: CL2, Exit Lane: BL1, Direction: W
Vehicle ID: 7, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 8, Entry Lane: AL2, Exit Lane: DL1, Direction: E
Vehicle ID: 9, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 10, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 11, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 12, Entry Lane: AL2, Exit Lane: DL1, Direction: W
Vehicle ID: 13, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 14, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 15, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 16, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 17, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 18, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 19, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 20, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 21, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 22, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 23, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 24, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 25, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 26, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 27, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 28, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 29, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 30, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 31, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 32, Entry Lane: AL2, Exit Lane: DL1, Direction: W
Vehicle ID: 33, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 34, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 35, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 36, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 37, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 38, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 39, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 40, Entry Lane: DL2, Exit Lane: BL1, Direction: N
Vehicle ID: 41, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 42, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 43, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 44, Entry Lane: AL2, Exit Lane: DL1, Direction: N
Vehicle ID: 45, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 46, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 47, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 48, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 49, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 50, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 51, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 52, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 53, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 54, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 55, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 56, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 57, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 58, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 59, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 60, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 61, Entry Lane: BL2, Exit Lane: DL1, Direction: S
Vehicle ID: 62, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 63, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 64, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 65, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 66, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 67, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 68, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 69, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 70, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 71, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 72, Entry Lane: AL2, Exit Lane: DL1, Direction: N
Vehicle ID: 73, Entry Lane: BL2, Exit Lane: DL1, Direction: S
Vehicle ID: 74, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 75, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 76, Entry Lane: CL2, Exit Lane: AL1, Direction: S
Vehicle ID: 77, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 78, Entry Lane: BL2, Exit Lane: DL1, Direction: S
Vehicle ID: 79, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 80, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 81, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 82, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 83, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 84, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 85, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 86, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 87, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 88, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 89, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 90, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 91, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 92, Entry Lane: AL2, Exit Lane: DL1, Direction: W
Vehicle ID: 93, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 94, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 95, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 96, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 97, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 98, Entry Lane: AL2, Exit Lane: DL1, Direction: E
Vehicle ID: 99, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 100, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 101, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 102, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 103, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 104, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 105, Entry Lane: AL2, Exit Lane: DL1, Direction: E
Vehicle ID: 106, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 107, Entry Lane: BL2, Exit Lane: DL1, Direction: S
Vehicle ID: 108, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 109, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 110, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 111, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 112, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 113, Entry Lane: CL2, Exit Lane: BL1, Direction: W
Vehicle ID: 114, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 115, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 116, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 117, Entry Lane: CL2, Exit Lane: BL1, Direction: W
Vehicle ID: 118, Entry Lane: AL2, Exit Lane: DL1, Direction: N
Vehicle ID: 119, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 120, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 121, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 122, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 123, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 124, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 125, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 126, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 127, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 128, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 129, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 130, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 131, Entry Lane: DL2, Exit Lane: BL1, Direction: N
Vehicle ID: 132, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 133, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 134, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 135, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 136, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 137, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 138, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 139, Entry Lane: DL2, Exit Lane: BL1, Direction: N
Vehicle ID: 140, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 141, Entry Lane: BL2, Exit Lane: AL1, Direction: W
